date,horario,nick,classe,item,monster,mapa
2026-08-22,22/08 ás 11:42,LekJhonson95,Cavaleiro,Bellum,Sentinel_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 12:11,LekJhonson95,Cavaleiro,Defense Gem (Lv.2),Sentinel_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 12:52,Tempest,Arqueira,Inferna,Armed Invader_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 13:30,DarkFury,Lutador,Defense Fragment (C),Elite Soldier_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 14:01,DarkFury,Lutador,Defense Fragment (B),Undead Schemist_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 13:59,Secret,Shaman,Weapon Fragment (C),Armed Invader_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 14:29,midnightpurple,Arqueira,Weapon Fragment (A),Undead Schemist_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 14:27,LekJhonson95,Cavaleiro,Block Gem (Lv.2),Undead Engineer_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 14:13,Secret,Shaman,Damage Gem (Lv.2),Armed Invader_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 14:11,DarkFury,Lutador,Extreme Sword,Deranged Technician_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 14:11,DarkFury,Lutador,Reaper Scythe,Elite Soldier_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 14:06,Tempest,Arqueira,Defense Fragment (B),Deranged Technician_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 14:05,Tempest,Arqueira,Gold Gem (Lv.2),Armed Invader_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 14:51,SrVittar,Atalanta,Ares Vambrace,Sentinel_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 14:39,midnightpurple,Arqueira,Mirage,Undead Engineer_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 15:08,Secret,Shaman,Defense Fragment (B),Elite Soldier_CBA,Battlefield of the Ancients
2026-08-22,22/08 ás 16:02,LekJhonson95,Cavaleiro,Block Gem (Lv.2),Sulfur Golem,Firelands
2026-08-22,22/08 ás 15:51,SrVittar,Atalanta,Weapon Fragment (B),Flame Arrow,Firelands
2026-08-22,22/08 ás 15:38,SrVittar,Atalanta,Enigma,Infernal Giant,Firelands
2026-08-22,22/08 ás 16:57,LekJhonson95,Cavaleiro,Damage Gem (Lv.2),Infernal Giant,Firelands
2026-08-22,22/08 ás 16:57,SrVittar,Atalanta,Gold Gem (Lv.2),Ignis,Firelands
2026-08-22,22/08 ás 17:31,Tempest,Arqueira,Inferna,Flaming Argon,Firelands
2026-08-22,22/08 ás 18:46,Secret,Shaman,Inferna,Deranged Technician,Secret Laboratory 2F
2026-08-22,22/08 ás 19:05,Secret,Shaman,Bane Hammer,Sentinel,Secret Laboratory 2F
2026-08-22,22/08 ás 18:54,Secret,Shaman,Extreme Sword,Sentinel,Secret Laboratory 2F
2026-08-22,22/08 ás 19:32,Tempest,Arqueira,Weapon Fragment (C),Deranged Technician,Secret Laboratory 2F
2026-08-22,22/08 ás 19:21,midnightpurple,Arqueira,Mirage,Sentinel,Secret Laboratory 2F
2026-08-22,22/08 ás 19:19,Secret,Shaman,Frenzy Armor,Deranged Technician,Secret Laboratory 2F
2026-08-22,22/08 ás 19:17,DarkFury,Lutador,Defense Fragment (A),Deranged Technician,Secret Laboratory 2F
2026-08-22,22/08 ás 19:12,LekJhonson95,Cavaleiro,Block Gem (Lv.2),Elite Soldier,Secret Laboratory 2F
2026-08-22,22/08 ás 19:37,Tempest,Arqueira,Block Gem (Lv.2),Sentinel,Secret Laboratory 2F
2026-08-23,23/08 ás 12:25,Secret,Shaman,Defense Fragment (A),Sentinel_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 12:25,SrVittar,Atalanta,Avernus Beads,Deranged Technician_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 11:55,SrVittar,Atalanta,Devilian Dagger,Sentinel_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 11:50,Tempest,Arqueira,Weapon Fragment (C),Elite Soldier_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 11:41,DarkFury,Lutador,Bane Hammer,Elite Soldier_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 11:24,SrVittar,Atalanta,Weapon Fragment (A),Armed Invader_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 09:45,LekJhonson95,Cavaleiro,Weapon Fragment (A),Undead Engineer_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 09:41,Secret,Shaman,Devilian Dagger,Psycho Slayer_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 09:38,DarkFury,Lutador,Celestial Staff,Elite Soldier_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 08:56,Tempest,Arqueira,Weapon Fragment (A),Undead Engineer_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 08:55,DarkFury,Lutador,Bellum,Psycho Slayer_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 08:48,Secret,Shaman,Defense Fragment (C),Armed Invader_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 08:22,Tempest,Arqueira,Defense Fragment (C),Psycho Slayer_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 08:16,DarkFury,Lutador,Attack Power Gem (Lv.2),Undead Engineer_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 07:52,Tempest,Arqueira,Defense Fragment (B),Elite Soldier_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 07:42,DarkFury,Lutador,Weapon Fragment (A),Armed Invader,Secret Laboratory
2026-08-23,23/08 ás 07:21,Tempest,Arqueira,Inferna,Undead Engineer,Secret Laboratory
2026-08-23,23/08 ás 06:51,SrVittar,Atalanta,Drop Gem (Lv.2),Sentinel,Secret Laboratory
2026-08-23,23/08 ás 06:44,LekJhonson95,Cavaleiro,Mirage,Undead Schemist,Secret Laboratory
2026-08-23,23/08 ás 06:36,Tempest,Arqueira,Weapon Fragment (B),Elite Soldier,Secret Laboratory
2026-08-23,23/08 ás 06:33,Tempest,Arqueira,Weapon Fragment (A),Deranged Technician,Secret Laboratory
2026-08-23,23/08 ás 06:19,midnightpurple,Arqueira,Weapon Fragment (C),Elite Soldier,Secret Laboratory
2026-08-23,23/08 ás 06:11,Secret,Shaman,Defense Fragment (C),Elite Soldier,Secret Laboratory
2026-08-23,23/08 ás 05:46,Secret,Shaman,Malice Rosary,Sentinel,Secret Laboratory
2026-08-23,23/08 ás 05:37,Secret,Shaman,Phoenix Boots,Undead Schemist,Secret Laboratory
2026-08-23,23/08 ás 05:03,Secret,Shaman,Bane Hammer,Armed Invader,Secret Laboratory
2026-08-23,23/08 ás 05:03,Secret,Shaman,Defense Fragment (C),Undead Schemist,Secret Laboratory
2026-08-23,23/08 ás 04:48,SrVittar,Atalanta,Mirage,Deranged Technician,Secret Laboratory
2026-08-23,23/08 ás 04:17,Secret,Shaman,Acala Phantom,Undead Engineer,Secret Laboratory
2026-08-23,23/08 ás 04:12,Secret,Shaman,Inferna,Deranged Technician,Secret Laboratory
2026-08-23,23/08 ás 04:03,SrVittar,Atalanta,Damage Gem (Lv.2),Undead Schemist,Secret Laboratory
2026-08-23,23/08 ás 03:58,Tempest,Arqueira,Weapon Fragment (A),Armed Invader,Secret Laboratory
2026-08-23,23/08 ás 03:44,midnightpurple,Arqueira,Bellum,Deranged Technician,Secret Laboratory
2026-08-23,23/08 ás 03:39,Secret,Shaman,Defense Fragment (B),Armed Invader,Secret Laboratory
2026-08-23,23/08 ás 03:25,Secret,Shaman,Weapon Fragment (C),Elite Soldier,Secret Laboratory
2026-08-23,23/08 ás 03:12,DarkFury,Lutador,Weapon Fragment (C),Psycho Slayer,Secret Laboratory
2026-08-23,23/08 ás 03:12,DarkFury,Lutador,HP Gem (Lv.2),Undead Schemist,Secret Laboratory
2026-08-23,23/08 ás 03:10,Tempest,Arqueira,Defense Fragment (A),Elite Soldier,Secret Laboratory
2026-08-23,23/08 ás 02:15,Tempest,Arqueira,Weapon Fragment (A),Elite Soldier,Secret Laboratory
2026-08-23,23/08 ás 01:43,Secret,Shaman,Phoenix Bracelets,Elite Soldier,Secret Laboratory
2026-08-23,23/08 ás 01:37,Tempest,Arqueira,Defense Fragment (B),Deranged Technician,Secret Laboratory 2F
2026-08-23,23/08 ás 01:31,midnightpurple,Arqueira,Defense Fragment (C),Undead Engineer,Secret Laboratory 2F
2026-08-23,23/08 ás 01:26,DarkFury,Lutador,Attack Power Gem (Lv.2),Sentinel,Secret Laboratory 2F
2026-08-23,23/08 ás 01:20,SrVittar,Atalanta,Weapon Fragment (B),Sentinel,Secret Laboratory 2F
2026-08-23,23/08 ás 00:28,LekJhonson95,Cavaleiro,Inferna,Sentinel,Secret Laboratory 2F
2026-08-23,23/08 ás 00:15,DarkFury,Lutador,Weapon Fragment (B),Sentinel,Secret Laboratory 2F
2026-08-23,23/08 ás 00:10,SrVittar,Atalanta,Gold Gem (Lv.2),Sentinel,Secret Laboratory 2F
2026-08-23,23/08 ás 00:02,Tempest,Arqueira,Damage Gem (Lv.2),Undead Engineer,Secret Laboratory 2F
2026-08-23,23/08 ás 16:25,Tempest,Arqueira,Defense Fragment (A),Psycho Slayer,Secret Laboratory
2026-08-23,23/08 ás 16:39,Tempest,Arqueira,HP Gem (Lv.2),Psycho Slayer,Secret Laboratory
2026-08-23,23/08 ás 17:27,DarkFury,Lutador,Weapon Fragment (B),Elite Soldier_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 17:36,Tempest,Arqueira,Mirage,Deranged Technician_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 18:23,SrVittar,Atalanta,Weapon Fragment (C),Sentinel_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 18:19,midnightpurple,Arqueira,Phoenix Boots,Undead Schemist_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 18:09,LekJhonson95,Cavaleiro,Drop Gem (Lv.2),Psycho Slayer_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 18:47,SrVittar,Atalanta,Weapon Fragment (B),Armed Invader_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 18:37,Secret,Shaman,Defense Fragment (A),Deranged Technician_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 19:01,midnightpurple,Arqueira,Defense Fragment (C),Sentinel_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 18:58,SrVittar,Atalanta,Block Gem (Lv.2),Deranged Technician_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 18:55,Tempest,Arqueira,Defense Gem (Lv.2),Elite Soldier_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 19:21,midnightpurple,Arqueira,Defense Fragment (A),Deranged Technician_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 19:52,DarkFury,Lutador,Mirage,Armed Invader_CBA,Battlefield of the Ancients
2026-08-23,23/08 ás 19:39,SrVittar,Atalanta,Bellum,Sentinel_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 00:26,SrVittar,Atalanta,Reaper Scythe,Undead Engineer,Secret Laboratory 2F
2026-08-24,24/08 ás 00:10,Secret,Shaman,Phoenix Gauntlets,Deranged Technician,Secret Laboratory 2F
2026-08-24,24/08 ás 00:47,midnightpurple,Arqueira,Defense Fragment (B),Deranged Technician,Secret Laboratory 2F
2026-08-24,24/08 ás 00:39,midnightpurple,Arqueira,Mirage,Undead Engineer,Secret Laboratory 2F
2026-08-24,24/08 ás 02:04,LekJhonson95,Cavaleiro,Attack Power Gem (Lv.2),Armed Invader,Secret Laboratory
2026-08-24,24/08 ás 02:02,SrVittar,Atalanta,Injustice Talon,Sentinel,Secret Laboratory
2026-08-24,24/08 ás 01:45,Tempest,Arqueira,Inferna,Psycho Slayer,Secret Laboratory
2026-08-24,24/08 ás 02:14,SrVittar,Atalanta,Injustice Talon,Undead Schemist,Secret Laboratory
2026-08-24,24/08 ás 02:52,Secret,Shaman,Bellum,Deranged Technician,Secret Laboratory
2026-08-24,24/08 ás 02:38,DarkFury,Lutador,Avernus Beads,Sentinel,Secret Laboratory
2026-08-24,24/08 ás 03:33,LekJhonson95,Cavaleiro,Acala Phantom,Deranged Technician,Secret Laboratory
2026-08-24,24/08 ás 03:15,Tempest,Arqueira,Weapon Fragment (B),Undead Engineer,Secret Laboratory
2026-08-24,24/08 ás 03:35,LekJhonson95,Cavaleiro,Bellum,Undead Engineer,Secret Laboratory
2026-08-24,24/08 ás 04:13,LekJhonson95,Cavaleiro,Mirage,Undead Engineer,Secret Laboratory
2026-08-24,24/08 ás 04:13,Secret,Shaman,Inferna,Armed Invader,Secret Laboratory
2026-08-24,24/08 ás 05:00,Tempest,Arqueira,Weapon Fragment (C),Undead Engineer,Secret Laboratory
2026-08-24,24/08 ás 04:48,Tempest,Arqueira,Defense Fragment (A),Undead Engineer,Secret Laboratory
2026-08-24,24/08 ás 05:14,DarkFury,Lutador,Defense Fragment (C),Armed Invader,Secret Laboratory
2026-08-24,24/08 ás 05:05,LekJhonson95,Cavaleiro,Injustice Talon,Armed Invader,Secret Laboratory
2026-08-24,24/08 ás 05:34,midnightpurple,Arqueira,Inferna,Elite Soldier,Secret Laboratory
2026-08-24,24/08 ás 06:03,DarkFury,Lutador,Defense Fragment (B),Psycho Slayer,Secret Laboratory
2026-08-24,24/08 ás 06:59,Secret,Shaman,Weapon Fragment (B),Undead Schemist_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 06:48,DarkFury,Lutador,Mirage,Psycho Slayer_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 07:34,Secret,Shaman,Mirage,Armed Invader_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 07:27,DarkFury,Lutador,Mirage,Undead Schemist_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 08:03,LekJhonson95,Cavaleiro,Phoenix Bracelets,Deranged Technician_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 08:00,Secret,Shaman,Ares Vambrace,Sentinel_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 07:40,Tempest,Arqueira,Weapon Fragment (B),Undead Engineer_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 07:38,midnightpurple,Arqueira,Weapon Fragment (A),Elite Soldier_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 08:19,DarkFury,Lutador,Avernus Beads,Elite Soldier_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 08:14,Secret,Shaman,Dreadnaught Shield,Undead Engineer_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 08:12,LekJhonson95,Cavaleiro,Bane Hammer,Elite Soldier_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 08:47,SrVittar,Atalanta,Weapon Fragment (A),Armed Invader_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 08:44,Secret,Shaman,Weapon Fragment (C),Armed Invader_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 08:36,DarkFury,Lutador,Extreme Sword,Sentinel_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 09:23,midnightpurple,Arqueira,Weapon Fragment (C),Undead Engineer_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 09:18,DarkFury,Lutador,Reaper Scythe,Armed Invader_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 09:11,midnightpurple,Arqueira,Weapon Fragment (B),Armed Invader_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 09:11,LekJhonson95,Cavaleiro,Mirage,Armed Invader_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 09:09,midnightpurple,Arqueira,Weapon Fragment (B),Sentinel_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 10:01,Tempest,Arqueira,Weapon Fragment (C),Deranged Technician_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 09:53,Secret,Shaman,Block Gem (Lv.2),Sentinel_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 09:52,SrVittar,Atalanta,Weapon Fragment (A),Undead Schemist_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 10:14,LekJhonson95,Cavaleiro,Mirage,Deranged Technician_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 10:10,SrVittar,Atalanta,Defense Fragment (A),Elite Soldier_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 10:09,LekJhonson95,Cavaleiro,Defense Fragment (B),Elite Soldier_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 10:08,SrVittar,Atalanta,Weapon Fragment (B),Deranged Technician_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 10:46,midnightpurple,Arqueira,Inferna,Elite Soldier_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 10:41,LekJhonson95,Cavaleiro,Celestial Staff,Undead Engineer_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 11:05,LekJhonson95,Cavaleiro,Reaper Scythe,Armed Invader_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 11:33,Tempest,Arqueira,Inferna,Undead Schemist_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 12:04,midnightpurple,Arqueira,Weapon Fragment (A),Elite Soldier_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 11:48,LekJhonson95,Cavaleiro,Avernus Beads,Deranged Technician_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 11:44,midnightpurple,Arqueira,Mirage,Sentinel_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 11:36,Tempest,Arqueira,Weapon Fragment (C),Elite Soldier_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 12:16,midnightpurple,Arqueira,Weapon Fragment (B),Deranged Technician_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 13:01,SrVittar,Atalanta,Weapon Fragment (C),Sentinel_CBA,Battlefield of the Ancients
2026-08-24,24/08 ás 12:51,Secret,Shaman,Inferna,Armed Invader_CBA,Battlefield of the Ancients
